fit_tier,priority,company,legal_name,usdot,power_units,drivers,officer,phone,email,city,state,zip,address,safety_rating,hazmat,classdef,fit_score,suggested_plan,add_on,outreach_angle,safer_url
Fleet,Medium,STOP AND SHOP SUPERMARKET,THE STOP AND SHOP SUPERMARKET COMPANY,8653,204,743,Donal  Curtin,5089775125,donal.curtin@stopandshop.com,ASSONET,MA,02702-1647,136 S MAIN ST,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,65,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=8653
Growth,Medium,ROLANE TRANSPORTATION INC,ROLANE TRANSPORTATION INC,8692,27,23,NEAL SPIEGEL,5085883888,ruth@rolanetransportation.com,BROCKTON,MA,02301,85 LIBERTY STREET,None listed,No,AUTHORIZED FOR HIRE,120,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=8692
Growth,Medium,CATANIA OILS,CATANIA SPAGNA CORPORATION,8790,15,12,MICHAEL BASILE,9783918312,mbasile@cataniaoils.com,AYER,MA,01432,90 NEMCO WAY,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,65,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=8790
Growth,High,TRANS-BRIDGE LINES INC,TRANS-BRIDGE LINES INC,9100,38,63,THOMAS G JEBRAN,6108686001,amack@transbridgelines.com,BETHLEHEM,PA,18017,2012 INDUSTRIAL DRIVE,S,No,AUTHORIZED FOR HIRE,65,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=9100
Growth,Medium,BISSON TRANSPORTATION INC,BISSON TRANSPORTATION INC,9153,30,32,JAMES COOPER,2075141060,JKATZIANER@BISSONTRANSPORTATION.COM,WESTBROOK,ME,04092,85 EISENHOWER DRIVE,S,No,AUTHORIZED FOR HIRE,120,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=9153
Growth,Medium,SPC TRANSPORT CO,SPC TRANSPORT CO,9163,19,18,TODD  PRAWER,12072400029,rgiguere@spctran.com,AUBURN,ME,04210,224 WEST HARDSCRABBLE RD,S,Yes,AUTHORIZED FOR HIRE,120,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=9163
Growth,Medium,H E HUNEWILL CONSTRUCTION CO INC,H E HUNEWILL CONSTRUCTION CO INC,9245,29,17,LOREN EUGENE HUNEWILL,7754652448,hunewillinc@hunewillconstruction.com,WELLINGTON,NV,89444,315 ARTIST VIEW,C,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,95,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=9245
Growth,Medium,J D BOUSQUET & SONS INC,J D BOUSQUET & SONS INC,9347,11,5,THEODORE J BOUSQUET,5084767421,,MANCHAUG,MA,01526,37 MAIN ST,S,Yes,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,50,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=9347
Growth,Medium,C & W TRANSPORTATION INC,C & W TRANSPORTATION INC,9354,46,53,SHANNON DEGUGLIELMO,6179309902,CWTRANSPORTATION@GMAIL.COM,LEXINGTON,MA,02420,240 BEDFORD STREET,S,No,"PRIVATE PASSENGER, BUSINESS;AUTHORIZED FOR HIRE",50,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=9354
Starter,High,MILLER TRANSFER AND STORAGE,CG MILLER INC,9387,9,8,JAMES MILLER,7602523711,millertransfer@san.rr.com,BARSTOW,CA,92311,2520 E MAIN ST,None listed,No,AUTHORIZED FOR HIRE,65,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=9387
Growth,High,MALLETT & SONS TRUCKING COMPANY INC,MALLETT & SONS TRUCKING COMPANY INC,9392,25,21,ROY  M MALLETT,17609222297,mallett33@frontier.com,BLYTHE,CA,92225-9379,10901 SEELEY AVE,S,No,AUTHORIZED FOR HIRE,90,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=9392
Starter,High,REBEL VAN LINES,REBEL VAN LINES,9480,6,6,MAUREEN SERIO,3108847620,nan@rebelvanlines.com,COMPTON,CA,90221,2100 SOUTH ALAMEDA STREET,S,No,AUTHORIZED FOR HIRE,95,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=9480
Starter,High,RAMSEY TOWING,H&H RAMSEY TOWING CO,9517,10,6,DAN C NASCA,7609224161,lstewart@ramseytrk.com,BLYTHE,CA,92225,190 S INTAKE BLVD,S,Yes,AUTHORIZED FOR HIRE,65,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=9517
Growth,High,RYDER TRANSPORT EXPRESS LLC,RYDER TRANSPORT EXPRESS LLC,9848,30,36,JAMES  FINLEY,7862471987,jfinley@ryder.com,CORAL GABLES,FL,33134,2333 PONCE DE LEON BLVD,S,No,AUTHORIZED FOR HIRE,120,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=9848
Fleet,High,DEPENDABLE HIGHWAY EXPRESS INC,DEPENDABLE HIGHWAY EXPRESS INC,9853,312,240,RONALD MASSMAN,3233629399,dhecompliance@godependable.com,LOS ANGELES,CA,90023,2555 E OLYMPIC BLVD,S,Yes,AUTHORIZED FOR HIRE,120,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=9853
Fleet,High,CUSTOM,CUSTOM BUILDING PRODUCTS LLC,9926,165,158,JEFF  WRIGHT,4046349100,margie.otoole@conteches.com,ATLANTA,GA,30328,5 CONCOURSE PARKWAY STE 1900,C,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,95,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=9926
Fleet,High,SYSCO PORTLAND INC,SYSCO PORTLAND INC,9997,118,153,SUSAN PAUL,5036828700,DOT.compliance@sysco.com,WILSONVILLE,OR,97070,26250 SW PARKWAY CENTER DRIVE,None listed,Yes,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,95,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=9997
Growth,High,P & G MUSHROOM CO INC,P & G MUSHROOM CO INC,10035,11,8,STEVE PHILLIPS,6104441786,tcullen@phillpsmushroomfarms.com,KENNETT SQUARE,PA,19348-2605,1011 KAOLIN RD,S,No,AUTHORIZED FOR HIRE,65,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10035
Starter,High,MUSHROOM EXPRESS COMPANY,MUSHROOM EXPRESS COMPANY,10065,5,6,KEITH KIMMEL,6102682100,ORDERS@mushroomexpress.net,KENNETT SQUARE,PA,19348,295 THOMPSON ROAD,C,No,AUTHORIZED FOR HIRE,90,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10065
Fleet,High,WARD SAND & MATERIALS CO,JAMES D MORRISSEY INC,10072,124,43,JAMES  D MORRISSEY JR,2153338000,jfurey@jdm-inc.com,PHILADELPHIA,PA,19114-2854,9119 FRANKFORD AVE,S,Yes,AUTHORIZED FOR HIRE,60,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10072
Fleet,High,MACK TRUCKS INC,MACK TRUCKS INC,10105,72,88,GREG  HIGGINS,3363932000,fleetmgmt@volvo.com,GREENSBORO,NC,27409-9416,7900 NATIONAL SERVICE RD,S,Yes,PRIVATE PROPERTY,50,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10105
Starter,High,ALAN MCILVAIN COMPANY,ALAN MCILVAIN COMPANY,10112,8,8,ALAN MCILVAIN III,6104856600,jhuselton@alanmcilvain.com,MARCUS HOOK,PA,19061-0380,501 MARKET STREET,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,95,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10112
Fleet,High,SOUTH MILL SALES,KAOLIN MUSHROOM FARMS INC,10193,63,26,RICHARD  PEMBERTON,6104444800,dfoster@southmill.com,KENNETT SQUARE,PA,19348,649 W SOUTH STREET,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,60,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10193
Fleet,High,SOUTHEASTERN PENNSYLVANIA TRANSPORTATION AUTHORITY SEPTA,SOUTHEASTERN PENNSYLVANIA TRANSPORTATION AUTHORITY SEPTA,10206,1414,2179,FRANCIS BRANDIS,2155808100,FBRANDIS@septa.org,PHILADELPHIA,PA,19107-3780,1234 MARKET STREET FL 14,S,No,AUTHORIZED FOR HIRE,90,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10206
Starter,High,GARTTMEYER MOVING & STORAGE INC,GARTTMEYER MOVING & STORAGE INC,10208,7,4,CARL GARTTMEYER,2153558787,ggarttmeyer@aol.com,SOUTHAMPTON,PA,18966,955 JAYMOR RD,S,No,AUTHORIZED FOR HIRE,65,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10208
Fleet,High,BT ENERGY INC,PARKER OIL COMPANY INC,10311,116,115,"CHARLES PARKER, JR.",4344473146,,SOUTH HILL,VA,23970,1428 W DANVILLE ST,S,Yes,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,55,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10311
Fleet,High,SUNOCO RETAIL LLC,SUNOCO RETAIL LLC,10328,262,450,KARL  FAILS,4437520466,frederick.cornell@sunoco.com,NEWTOWN SQUARE,PA,19073,3805 WEST CHESTER PIKE - SUITE 260,S,Yes,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,65,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10328
Growth,High,E SCHNEIDER SONS INC,E SCHNEIDER SONS INC,10478,13,9,JOHN E. SCHNEIDER,6104353527,ESCHNEIDER@FAST.NET,ALLENTOWN,PA,18102,616-656 SUMNER AVENUE,S,No,AUTHORIZED FOR HIRE,65,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10478
Growth,High,NED BARD & SONS INC,NED BARD & SON CO,10537,40,21,DYLAN   BARD,7176616722,dana.edwards@nedbard.com,LEOLA,PA,17540,132 S MAPLE AVE,None listed,No,AUTHORIZED FOR HIRE,95,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10537
Fleet,High,R H CRAWFORD INC,R H CRAWFORD INC,10553,94,94,SHELLY MENTZER,7176374394,abby.nace@hanoverlogistics.com,HANOVER,PA,17331,341 MOULSTOWN RD,S,Yes,AUTHORIZED FOR HIRE,95,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10553
Fleet,High,DAILY EXPRESS INC,DAILY EXPRESS INC,10558,173,173,TODD  R. LONG,8007332459,jstambaugh@dailyexp.com,CARLISLE,PA,17013-0039,1072 HARRISBURG PIKE,S,No,AUTHORIZED FOR HIRE,120,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10558
Growth,High,DAVIDSON BROTHERS,TROTTING FOX LLC,10559,42,26,GARY GOLDEN SR,8002355624,sheila2@dbitrucking.com,BELLEFONTE,PA,16823-4715,450 RUNVILLE RD,S,No,OTHER-LIMESTONE PRODUCTS;AUTHORIZED FOR HIRE,95,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10559
Fleet,High,H R EWELL INC,HERMAN R EWELL INC,10571,297,204,CALVIN  EWELL,8002330161,greg.mcclure@hrewell.com,EAST EARL,PA,17519,4635 DIVISION HIGHWAY,S,No,AUTHORIZED FOR HIRE,65,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10571
Growth,High,GABLER TRUCKING INC,GABLER TRUCKING INC,10579,24,26,STEVE  COX,7173771502,dispatch@hcgabler.com,CHAMBERSBURG,PA,17201,5195 TECHNOLOGY AVENUE,S,No,AUTHORIZED FOR HIRE,120,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10579
Growth,High,EARL R MARTIN INC,EARL R MARTIN INC,10650,16,25,CHRISTINA  MARTIN,7173544061,eskelton@earlrmartin.com,NEW HOLLAND,PA,17557,970 EAST EARL RD,S,Yes,AUTHORIZED FOR HIRE,95,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10650
Growth,High,MILTON TRANSPORTATION INC.,MILTON TRANSPORTATION INC.,10666,43,40,SHERRY  BOWERSOX,5707428774,accounting@miltontrans.com,TURBOTVILLE,PA,17772-8554,150 CHERRY TREE LN,S,No,AUTHORIZED FOR HIRE,120,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10666
Growth,High,LESTER M PRANGE INC,LESTER M PRANGE INC,10675,14,13,VICKY WIGGINS,7175292191,VDWPRANGE@EPIX.NET,KIRKWOOD,PA,17536-0126,380 MAPLE SHADE RD,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,95,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10675
Growth,High,GEO W WEAVER & SON INC,GEO W WEAVER & SON INC,10676,27,17,FREDERICK LIDDELL,7177747835,Max@weavermoving.com,NEW CUMBERLAND,PA,17070,165 LAMONT ST,S,No,AUTHORIZED FOR HIRE,65,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10676
Growth,High,CHARLES M SHIRK TRUCKING INC,CHARLES M SHIRK TRUCKING INC,10695,17,17,MARY ALICE SENSENIG,7174454921,MARYALICE@SHIRKTRUCKING.COM,TERRE HILL,PA,17581,307 SCHNADER STREET,None listed,No,AUTHORIZED FOR HIRE,120,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10695
Fleet,High,SUMMERS TRUCKING,LESTER R SUMMERS INC,10702,70,63,REBECCA E SUMMERS,7177336556,BECKY@SUMMERSTRUCKING.COM,EPHRATA,PA,17522,40 GARDEN SPOT ROAD SUITE 100,S,Yes,AUTHORIZED FOR HIRE,120,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10702
Starter,High,ECKERT TRUCKING INC,ECKERT TRUCKING INC,10712,6,5,CANDY TOGGAS,7178430995,CANDYJO28@AOL.COM,YORK,PA,17403,1090 E SPRINGETTSBURY AVE,S,No,AUTHORIZED FOR HIRE,120,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10712
Fleet,High,WATSONTOWN TRUCKING COMPANY,WATSONTOWN TRUCKING COMPANY,10715,565,530,BRANDON  KOSER,5705229820,bkoser@watsontowntrucking.com,MILTON,PA,17847,60 BELFORD BLVD,S,No,AUTHORIZED FOR HIRE,120,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10715
Growth,High,WOLF'S BUS LINES INC,WOLF'S BUS LINES INC,10726,23,32,TAMMY WOLF-BAKER,7175284125,jan@WOLFSBUS.COM,YORK SPRINGS,PA,17372,200 OLD US RT 15,S,No,AUTHORIZED FOR HIRE,55,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10726
Starter,High,ZEIGLERS STORAGE & TRANSFER INC,ZEIGLERS STORAGE & TRANSFER INC,10733,7,5,BRENDA DAVIDSON,7172432033,info@zeiglersmoving.com,CARLISLE,PA,17013,1235 RITNER HWY,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,65,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10733
Growth,High,IVAN P LAUVER & SON INC,IVAN P LAUVER & SON INC,10760,18,26,ZACHARY  LAUVER,5705392552,lauvertrucking@gmail.com,MT PLEASANT MILLS,PA,17853,8962 RT 104,S,No,AUTHORIZED FOR HIRE,95,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10760
Growth,High,MCCLEARY OIL CO INC,MCCLEARY OIL CO INC,10798,14,9,JAMES R WADE,7172646181,jimmy@mcclearyoil.com,CHAMBERSBURG,PA,17201,1266 N FRANKLIN ST,None listed,Yes,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,95,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10798
Growth,High,MELLOTT COMPANY,MELLOTT COMPANY,10847,47,31,NICK ECKER,3016782000,SSTANLEY@MELLOTTS.COM,WARFORDSBURG,PA,17267,100 MELLOTT DR SUITE 100,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,95,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10847
Growth,High,MOUNT JOY FARMERS CO-OP,MOUNT JOY FARMERS CO-OPERATIVE ASSOCIATION CORP,10883,36,67,JEFFERY BALMER,7176535431,LSTAUFFER@MTJOYFARMERSCOOP.com,MOUNT JOY,PA,17552,1471 WEST MAIN ST,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,65,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10883
Fleet,Medium,INTERMOUNTAIN WOOD PRODUCTS INC,INTERMOUNTAIN WOOD PRODUCTS INC,10944,76,78,DUSTIN PERRIN,8014865414,wpeterson@intermountainwood.com,SALT LAKE CITY,UT,84115,1948 S WEST TEMPLE,S,No,PRIVATE PROPERTY;AUTHORIZED FOR HIRE,95,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10944
Starter,Medium,LARRY DAVIS GARAGE OF BARNESVILLE MN INC,LARRY DAVIS GARAGE OF BARNESVILLE MN INC,11005,5,5,LARRY DAVIS,2184934464,ldgarage@rrt.net,BARNESVILLE,MN,56514,15268 HWY 9 S,S,No,AUTHORIZED FOR HIRE,95,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=11005
Fleet,High,NELSON BROTHERS TRUCKING INC,MORRIS O NELSON & SONS INC,11064,129,84,RICK NELSON,5417460303,RICK@NBTRUCKING.COM,SPRINGFIELD,OR,97478,3112 INDUSTRIAL AVE,S,Yes,AUTHORIZED FOR HIRE,120,$299/mo Fleet,Offer DOT Record Monitor $29/mo,"Unlimited seats, reports, integrations + Monitor (fits Fleet $299)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=11064
Growth,High,MCCRACKEN MOTOR FREIGHT INC,MCCRACKEN MOTOR FREIGHT INC,11087,22,22,MYCHELL LAKE,5032237304,M.LAKE@MCCRACKENMOTORFREIGHT.COM,PORTLAND,OR,97217,1601 N COLUMBIA BLVD,S,Yes,AUTHORIZED FOR HIRE,120,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=11087
Starter,Medium,ADMIRAL MOVING SERVICES INC,ADMIRAL MOVING SERVICES INC,11135,10,5,LISA A SCOTT,4794424631,L_SCOTT@ADMIRALMOVINGSERVICES.COM,TONTITOWN,AR,72762,1245 E HENRI DE TONTI BLVD,None listed,No,AUTHORIZED FOR HIRE,65,$99/mo Starter,Mention Monitor after trial activation,Expiration tracking + document vault for small fleet (fits Starter $99),https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=11135
Growth,Medium,SILICA TRANSPORT INC,SILICA TRANSPORT INC,11284,44,30,JAMES  A. KNIGHT,8703465811,james.knight@sti-guion.com,GUION,AR,72540,260 MAIN STREET,S,Yes,AUTHORIZED FOR HIRE,120,$199/mo Growth,Offer DOT Record Monitor $29/mo,"CSA areas, reports, multi-user — growing fleet (fits Growth $199)",https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=11284
